name,url,strPrice,strRate,price,sendfee,rateCount,ratePeople,quantity,unit
《期間限定★10%OFF》 つや姫 米 10kg 送料無料 宮城県産 令和2年産 《10kg（5kg × 2袋）》 白米 お米 10kg 米10kg 米10キロ 宮城県 つやひめ 国内産米 精米 単一原料米 検査米 ブランド米 産地直送,https://item.rakuten.co.jp/ricey-miyagi/tsuyahime_10k/,"4,320円 送料無料 ",4.69(416件),"4,320",0,4.69,416,10,kg
"楽天スーパーSALE30%OFF5,880円⇒【4,110円】令和2年【送料無料】つや姫 10kg(5kg×2) 宮城県登米産【コシヒカリを凌ぐ人気！極上のお米】〔玄米/白米/無洗米〕要選択",https://item.rakuten.co.jp/rice-miyagi/tuya10/,"4,110円 送料無料 ",4.25(75件),"4,110",0,4.25,75,10,kg
"楽天スーパーSALE30%OFF5,880円⇒【4,110円】令和2年度【送料無料】つや姫 10kg(5kg×2) 宮城県登米産【コシヒカリを凌ぐ人気！極上のお米】〔玄米/白米/無洗米〕要選択",https://item.rakuten.co.jp/rice-miyagi/sab_tuya10/,"4,110円 送料無料 ",None,"4,110",0,,,10,kg
《期間限定★10%OFF》 つや姫 米 20kg 送料無料 宮城県産 令和2年産 《20kg（5kg×4袋）》 白米 お米 20kg 米20kg 米20キロ 宮城県 つやひめ 国内産米 精米 単一原料米 検査米 ブランド米 産地直送,https://item.rakuten.co.jp/ricey-miyagi/tsuyahime_20k/,"8,010円 送料無料 ",4.79(84件),"8,010",0,4.79,84,20,kg
《期間限定★10%OFF》 2品目 米 米10kg 食べ比べ ひとめぼれ つや姫 お試しセット 米 10kg 送料無料 宮城県産 令和2年産 《10kg（5kg × 1袋ずつ）》 白米 お米 10kg 宮城 ひとめぼれ つや姫 検査米,https://item.rakuten.co.jp/ricey-miyagi/tabekurabe_2brand_10k/,"4,275円 送料無料 ",4.67(169件),"4,275",0,4.67,169,10,kg
(10％OFF)(令和元年産米随時発送)(送料無料)山形県産 つや姫 白米 10キロ★はくまい 10kg（十キロ）お米（おこめ）【安全で確かなものを食卓へ】,https://item.rakuten.co.jp/hiroba-yamagata/1tuyahime-10-ss0302/,"5,148円 送料無料 ",None,"5,148",0,,,10,kg
【令和2年産】つや姫 玄米30kg×1袋小分けできます！宮城県産【宮城県_物産展】【送料無料】【減農薬米】【沖縄・離島へは別途送料が加算されます】宮城県WEB物産展 スーパーセール スーパーSALE 特別価格,https://item.rakuten.co.jp/greencenter/t-g30000g-r/,"9,980円 送料無料 ",4(1件),"9,980",0,4,1,30,kg
《期間限定★10%OFF》 つや姫 米 30kg 送料無料 宮城県産 令和2年産 《30kg（5kg × 6袋）》 白米 お米 30kg 米30kg 米30キロ 宮城県 つやひめ 国内産米 精米 単一原料米 検査米 ブランド米 産地直送,https://item.rakuten.co.jp/ricey-miyagi/tsuyahime_30k/,"11,790円 送料無料 ",4.78(253件),"11,790",0,4.78,253,30,kg
《期間限定★10%OFF》 つや姫 米 5kg 送料無料 宮城県産 令和2年産 《5kg》 白米 お米 5kg 米5kg 米5キロ 宮城県 つやひめ 国内産米 精米 単一原料米 検査米 ブランド米 産地直送,https://item.rakuten.co.jp/ricey-miyagi/tsuyahime_5k/,"2,700円 送料無料 ",4.46(13件),"2,700",0,4.46,13,5,kg
【20％OFF】 つや姫 10kg (5kg×2) 送料無料 令和二年 令和2年 山形 山形県産 白米 精米 10キロ 特別栽培,https://item.rakuten.co.jp/oec014/10000571/,"4,980円 送料無料 ",None,"4,980",0,,,10,kg
米 送料無料 食べ比べ 白米 令和二年産 ぽっきり ポッキリ お試しセット おためし 二合 300g 詰め合わせ 無農薬 減農薬 特別栽培米 慣行栽培米 一等米 サンプル 保存食 一人暮らし応援 真空パック 高級,https://item.rakuten.co.jp/mai-do/300g_okome_otameshi/,990円 送料無料 ,4.66(83件),990,0,4.66,83,300,g
【10％OFF】雪若丸 10kg お米 送料無料（一部地域を除く） 山形県産 令和2年産 精白米 スーパーSALEはポイント5倍！,https://item.rakuten.co.jp/heartlandfarm/yukiwaka-seimai-r1-10kg-0/,"4,158円 送料無料 ",None,"4,158",0,,,10,kg
期間限定10%off 【送料無料】【当日精米】令和2年度産 山形県産 お米つや姫 玄米 30kg(10kg×3袋)【白米・無洗米・分づき】【特別栽培農法】【正規取扱店】,https://item.rakuten.co.jp/agripartner/tsuyahime-30/,"13,230円 送料無料 ",4.77(142件),"13,230",0,4.77,142,30,kg
《期間限定★10%OFF》 2品目 米 米20kg 食べ比べ ひとめぼれ つや姫 お試しセット 米 20kg 送料無料 宮城県産 令和2年産 《20kg（5kg × 2袋ずつ）》 白米 お米 20kg 宮城 ひとめぼれ つや姫 検査米,https://item.rakuten.co.jp/ricey-miyagi/tabekurabe_2brand_20k/,"7,920円 送料無料 ",4.48(33件),"7,920",0,4.48,33,20,kg
"楽天スーパーSALE20%OFF13,480円⇒【10,780円】令和2年【送料無料】宮城県登米産つや姫 玄米 30kg【コシヒカリを凌ぐ人気！極上のお米】[佐川急便][ダンボール]限定【あす楽対応】",https://item.rakuten.co.jp/rice-miyagi/22sasanishiki07/,"10,780円 送料無料 ",4.27(11件),"10,780",0,4.27,11,30,kg
"楽天スーパーSALE20%OFF13,480円⇒【10,780円】令和2年【送料無料】宮城県登米産つや姫 25kg[白米/無洗米]選択可能小分け(5kg×5袋)可能【コシヒカリを凌ぐ人気！極上のお米】【あす楽対応】",https://item.rakuten.co.jp/rice-miyagi/tuya30/,"10,780円 送料無料 ",4.6(134件),"10,780",0,4.6,134,25,kg
"楽天スーパーSALE10%OFF3,880円⇒【3,490円】令和2年【送料無料】人気の「つや姫」 5kg 宮城県登米産【コシヒカリを凌ぐ人気！極上のお米】〔玄米/白米/無洗米〕要選択【あす楽対応】",https://item.rakuten.co.jp/rice-miyagi/tuya5/,"3,490円 送料無料 ",4.67(9件),"3,490",0,4.67,9,5,kg
【令和2年産 新米 】 山形県産 つや姫 白米 5kg(5kg×1袋) 特別栽培米 減農薬 減化学肥料 特A米 精米 ギフト 新生活応援 産地直送 のし プレゼント おいしい 通販 ブランド米 東北 送料無料 内祝い,https://item.rakuten.co.jp/ryokucyaen/km-111-1/,"3,353円 送料無料 ",5(1件),"3,353",0,5,1,5,kg
(10％OFF)(令和2年産米)(随時発送)(送料無料)山形県産 つや姫 白米 10キロ★はくまい 10kg（十キロ）お米（おこめ）【安全で確かなものを食卓へ】,https://item.rakuten.co.jp/hiroba-yamagata/26tuyahime-10-ss0302/,"5,328円 送料無料 ",None,"5,328",0,,,10,kg
【令和2年産】つや姫 白米27kg×1袋小分けできます！宮城県産【宮城県_物産展】【送料無料】【減農薬米】【沖縄・離島へは別途送料が加算されます】宮城県WEB物産展 スーパーセール スーパーSALE 特別価格,https://item.rakuten.co.jp/greencenter/t-27000g-r/,"9,999円 送料無料 ",5(1件),"9,999",0,5,1,27,kg
【スーパーSALE 10％OFF】　令和2年産　玄米　宮城県産　つや姫　玄米　30kg　　白米27kg　【精米無料サービス】　検査一等米　※本州限定発送（離島・沖縄発送不可）,https://item.rakuten.co.jp/ajiwainoasa/t_gnmi_ss/,"8,910円 送料無料 ",None,"8,910",0,,,30,kg
「つや姫」 精米/無洗米 5kg スーパーセール 3/4から3/11まで11％オフ!送料無料 宮城県産 令和2年産 自家栽培米 未検査米 低温貯蔵 ステイホーム 応援百年農家の多賀城産米,https://item.rakuten.co.jp/tagajo-misoranosato/misora_kome_tsuyahime_05/,"3,240円 送料無料 ",None,"3,240",0,,,5,kg
スーパーSALE限定50%OFF つや姫5kg【令和2年 新米 国内に0.2％しかないJAS認定を受けた 有機栽培米】【つや姫 美味しいお米 おいしい米 5kg 5キロ 有機米 オーガニック米 白米 お米 農家 有機栽培 農家直送 米 お取り寄せ 山形 山形県産 5kg お米 送料無料】,https://item.rakuten.co.jp/sato-nojo/006/,"2,900円 送料無料 ",None,"2,900",0,,,5,kg
(10％OFF)(令和2年産米)(随時発送)(送料無料)山形県産 つや姫 白米 5キロ★山形県産 雪若丸 白米 5キロ合わせて 10kgセット（十キロ）お米（おこめ）はくまい【安全で確かなものを食卓へ】,https://item.rakuten.co.jp/hiroba-yamagata/yukiwaka-tuya10-ss0302/,"4,905円 送料無料 ",None,"4,905",0,,,10,kg
期間限定10%off 【送料無料】【当日精米】令和2年度産 山形県産 お米つや姫 玄米 30kg(30kg×1袋)【白米・無洗米・分づき】【特別栽培農法】【正規取扱店】,https://item.rakuten.co.jp/agripartner/tsuyahime-30-1/,"12,960円 送料無料 ",4.71(56件),"12,960",0,4.71,56,30,kg
《期間限定★10%OFF》 3品目 米 米30kg 食べ比べ ひとめぼれ つや姫 ささにしき 米 30kg 送料無料 宮城県産 令和2年産 《30kg（各5kg × 2袋 が全3種⇒合計6袋）》 白米 お米 30kg 米30キロ 宮城県 ひとめぼれ つや姫 ササニシキ,https://item.rakuten.co.jp/ricey-miyagi/tabekurabe_3brand_30k/,"11,790円 送料無料 ",4.63(62件),"11,790",0,4.63,62,30,kg
